Tipo,RegBase0,RegBase1,Objeto,Unidade,Resolucao,Permissao,FCs,Intervalo,ValorInicial,Descricao
COIL,0,1,Comando_Medir_Resistencia_Banco,none,1,R,1/5,,OFF,
DISC,0,10001,Alarme_Geral,none,1,R,2,,,
DISC,1,10002,Alarme_Sens_F,none,1,R,2,,,
DISC,2,10003,Alarme_Reservado_1,none,1,R,2,,,
DISC,3,10004,Alarme_Reservado_2,none,1,R,2,,,
DISC,4,10005,Alarme_Bateria,none,1,R,2,,,
DISC,5,10006,Alarme_Elemento,none,1,R,2,,,
DISC,6,10007,Alarme_Analog,none,1,R,2,,,
DISC,7,10008,Alarme_Din,none,1,R,2,,ON,
DISC,8,10009,Alarme_Vcc,none,1,R,2,,,
DISC,9,10010,Alarme_Ibat,none,1,R,2,,,
DISC,10,10011,Alarme_Bat_Low,none,1,R,2,,,
DISC,11,10012,Alarme_Bat_Life,none,1,R,2,,,
DISC,12,10013,Alarme_Temp_Amb,none,1,R,2,,,
DISC,13,10014,Alarme_Umid,none,1,R,2,,,
DISC,14,10015,Alarme_H2,none,1,R,2,,ON,
DISC,15,10016,Alarme_Reservado_3,none,1,R,2,,,
DISC,16,10017,Alarme_Vbat_H,none,1,R,2,,,
DISC,17,10018,Alarme_Vbat_L,none,1,R,2,,,
DISC,18,10019,Alarme_Vbat_Desnivel,none,1,R,2,,,
DISC,19,10020,Alarme_Vbat_Fim,none,1,R,2,,,
DISC,20,10021,Alarme_Ibat_H,none,1,R,2,,,
DISC,21,10022,Alarme_Ibat_L,none,1,R,2,,,
DISC,22,10023,Alarme_Ibat_Desc,none,1,R,2,,,
DISC,23,10024,Alarme_Ibat_F,none,1,R,2,,,
DISC,24,10025,Alarme_Vbat_Rip,none,1,R,2,,,
DISC,25,10026,Alarme_Ibat_Rip,none,1,R,2,,,
DISC,26,10027,Alarme_SOC_L,none,1,R,2,,,
DISC,27,10028,Alarme_SOH_L,none,1,R,2,,,
DISC,28,10029,Alarme_Cap_L,none,1,R,2,,,
DISC,29,10030,Alarme_Tauton_L,none,1,R,2,,,
DISC,30,10031,Alarme_Reservado_4,none,1,R,2,,,
DISC,31,10032,Alarme_Reservado_5,none,1,R,2,,,
DISC,32,10033,Alarme_Vcel_H,none,1,R,2,,,
DISC,33,10034,Alarme_Vcel_L,none,1,R,2,,,
DISC,34,10035,Alarme_Vcel_Fim,none,1,R,2,,,
DISC,35,10036,Alarme_Temp_H,none,1,R,2,,,
DISC,36,10037,Alarme_Temp_L,none,1,R,2,,,
DISC,37,10038,Alarme_Res_H,none,1,R,2,,,
DISC,38,10039,Alarme_SOC_L_Elemento,none,1,R,2,,,
DISC,39,10040,Alarme_SOH_L_Elemento,none,1,R,2,,,
DISC,40,10041,Alarme_Cap_L_Elemento,none,1,R,2,,,
DISC,41,10042,Alarme_Sens_Ext,none,1,R,2,,,
DISC,42,10043,Alarme_Reservado_6,none,1,R,2,,,
DISC,43,10044,Alarme_Sens_F_Elemento,none,1,R,2,,,
DISC,44,10045,Alarme_Reservado_7,none,1,R,2,,,
DISC,45,10046,Alarme_Reservado_8,none,1,R,2,,,
DISC,46,10047,Alarme_Reservado_9,none,1,R,2,,,
DISC,47,10048,Alarme_Reservado_10,none,1,R,2,,,
DISC,48,10049,Alarme_Entrada_Digital_1,none,1,R,2,,,
DISC,49,10050,Alarme_Entrada_Digital_2,none,1,R,2,,,
DISC,50,10051,Alarme_Entrada_Digital_3,none,1,R,2,,,
DISC,51,10052,Alarme_Entrada_Digital_4,none,1,R,2,,,
DISC,52,10053,Alarme_Entrada_Virtual_1,none,1,R,2,,,
DISC,53,10054,Alarme_Entrada_Virtual_2,none,1,R,2,,,
DISC,54,10055,Alarme_Entrada_Virtual_3,none,1,R,2,,,
DISC,55,10056,Alarme_Entrada_Virtual_4,none,1,R,2,,,
DISC,56,10057,Alarme_Temp_Amb_E,none,1,R,2,,,
DISC,57,10058,Alarme_Temp_Amb_H,none,1,R,2,,,
DISC,58,10059,Alarme_Temp_Amb_L,none,1,R,2,,,
DISC,59,10060,Alarme_Temp_Amb_F,none,1,R,2,,,
DISC,60,10061,Alarme_Umid_E,none,1,R,2,,,
DISC,61,10062,Alarme_Umid_H,none,1,R,2,,,
DISC,62,10063,Alarme_Umid_L,none,1,R,2,,,
DISC,63,10064,Alarme_Umid_F,none,1,R,2,,,
DISC,64,10065,Alarme_H2_E,none,1,R,2,,,
DISC,65,10066,Alarme_H2_H,none,1,R,2,,,
DISC,66,10067,Alarme_H2_L,none,1,R,2,,,
DISC,67,10068,Alarme_H2_F,none,1,R,2,,,
DISC,68,10069,Alarme_Reservado_11,none,1,R,2,,,
DISC,69,10070,Alarme_Reservado_12,none,1,R,2,,ON,
DISC,70,10071,Alarme_Reservado_13,none,1,R,2,,,
DISC,71,10072,Alarme_Reservado_14,none,1,R,2,,,
DISC,72,10073,Alarme_Reservado_15,none,1,R,2,,ON,
DISC,1001,11002,Balanceador_Acionado_1,none,1,R,2,,,
DISC,1002,11003,Tensao_Elemento_N,none,1,R,2,,,
DISC,3000,13001,Entrada_Digital_Botao_Config,none,1,R,2,,,
DISC,3001,13002,Entrada_Digital_1_Estado_Bruto,none,1,R,2,,,
DISC,3002,13003,Entrada_Digital_2_Estado_Bruto,none,1,R,2,,,
DISC,3003,13004,Entrada_Digital_3_Estado_Bruto,none,1,R,2,,,
DISC,3004,13005,Entrada_Digital_4_Estado_Bruto,none,1,R,2,,,
IREG,0,30001,Tensao_CC_Banco,V,0.1,R,4,,2200,
IREG,1,30002,Corrente_CC_Banco,A,0.1,R,4,,3300,
IREG,2,30003,Potencia_Banco,kW,0.1,R,4,,4400,
IREG,3,30004,Status_Banco,none,0.1,R,4,,,
IREG,4,30005,Ripple_Tensao_RMS,mV,1,R,4,,,
IREG,5,30006,Ripple_Corrente_RMS,A,0.1,R,4,,,
IREG,6,30007,Autonomia_Restante_Banco,minuto,1,R,4,,,
IREG,7,30008,Capacidade_Carga_Banco,Ah,0.1,R,4,,,
IREG,8,30009,Capacidade_Energia_Banco,kWh,0.1,R,4,,,
IREG,8,30009,SOC_Banco,%,0.1,R,4,,,
IREG,9,30010,SOH_Banco,%,0.1,R,4,,,
IREG,10,30011,Temperatura_Ambiente,C,0.1,R,4,,,
IREG,11,30012,Umidade,%,0.1,R,4,,,
IREG,12,30013,Concentracao_H2,ppm,1,R,4,,,
IREG,20,30021,Resumo_Alarmes,none,1,R,4,,,
IREG,21,30022,Alarmes_Banco,none,1,R,4,,,
IREG,22,30023,Resumo_Alarmes_Elemento,none,1,R,4,,,
IREG,23,30024,Alarmes_Entradas_Digitais,none,1,R,4,,,
IREG,24,30025,Alarmes_Entradas_Analogicas,none,1,R,4,,,
IREG,30,30031,Potencia_Banco_MSB,W,1,R,4,,,
IREG,31,30032,Potencia_Banco_LSB,W,1,R,4,,,
IREG,32,30033,Capacidade_Energia_Banco_MSB,Wh,1,R,4,,,
IREG,33,30034,Capacidade_Energia_Banco_LSB,Wh,1,R,4,,,
IREG,9000,39001,Calibracao_Tensao_Hall_Avg,V,0.001,R,4,,,
IREG,9001,39002,Calibracao_Corrente_Hall_Avg,A,0.1,R,4,,,
IREG,9002,39003,Calibracao_Ripple_Corrente_RMS,A,0.1,R,4,,,
IREG,9003,39004,Calibracao_Ripple_Tensao_RMS,mV,1,R,4,,,
IREG,9004,39005,Calibracao_Entrada_Analog_1_Corrente,mA,0.01,R,4,,,
IREG,9005,39006,Calibracao_Entrada_Analog_2_Corrente,mA,0.01,R,4,,,
IREG,9006,39007,Calibracao_Entrada_Analog_3_Tensao,V,0.01,R,4,,,
IREG,9007,39008,Calibracao_Entrada_Analog_4_Tensao,V,0.01,R,4,,,
IREG,100,30101,Numero_Dispositivo_Monitorado,none,1,R,4,1-247,,
COIL,101,30102,Comunicacao_Erro_Estado,none,1,R,4,,OFF,
IREG,102,30103,Placa_Funcao_Status,none,1,R,4,,,
IREG,103,30104,Uptime_Minutos,none,1,R,4,,,
IREG,104,30105,Temperatura_CPU,C,1,R,4,,,
IREG,106,30107,Tensao_Elemento,mV,1,R,4,,,
IREG,107,30108,Temperatura_Elemento,C,0.1,R,4,,,
IREG,109,30110,Resistencia_Bruta_Medida,mOhm,0.001,R,4,,,
IREG,110,30111,Ruido_Medicao,%,0.1,R,4,,,
